question1,question2,is_duplicate
余额宝还借呗是还先存的还是还后存的,余额宝放三万，存半年，借呗会出吗,0
蚂蚁借呗，我的还款日不是今天,借呗还款日是怎嚒算,0
可以恢复删除的花呗账单吗,花呗咋删除,0
我是不是还是应该通过花呗还，也不能通过个人还吧,我花呗逾期了。不是故意逾期的,0
我点开看了花呗下月应还显示是***,花呗为什么显示下月还钱为零,0
花呗退款后为什么确认收货还是原来的价钱,退款花呗后为什么金额还是不变,1
借呗怎么操作主动还款,借呗还款怎么只有六个月的,0
借呗这次出现点我提额度永久的吗,怎么我的借呗没有额度了,0
花呗怎么不能用话费扣款,为什么花呗线下不能付款,0
同一张身份证两个支付宝账号都会有花呗吗,一个手机绑定多个账号的同时可以有多个花呗和借呗吗,0
我的花呗能重新评估吗,我想花呗升个几万,0
为什么我提前还不了花呗,为什么我现在花呗额度是负的，我想一次性还完却还不了,0
现在花呗不能用了是吧,麻烦不小，借呗搞得心情不好，现在花呗又不能支付,0
为什么我账户用不了花呗,要了我这个花呗，用不了什么情况，都差不多半年了,1
借呗提前还可以吗,如何提前还每个月借呗的钱,0
所以我今天用的花呗 就是下个月再还了,花呗是这个月花钱，下个月还款吗,1
花呗最后还款期能修改吗,我的花呗还款后可以恢复吗,0
花呗被冻结怎么恢复,花呗被封了怎么解除,1
蚂蚁借呗原来可以分***个月，现在怎么只有***个月,借呗可以***个月之内一次还清么,0
我换银行卡了，蚂蚁借呗额度就没有了，什么时候能恢复呀,借呗额度没到银行卡,0
借呗周期怎么改,怎么修改借呗还款日期,0
***元花呗立减,蚂蚁花呗首付立减,0
本月***号在蚂蚁借呗借款，分期还款什么时候还第一期,借呗今天借 什么时候是还款日,0
花呗咋不支持用,花呗支持那些加油站点,0
我有不良记录吗？为什么借呗关闭了,没有借过借呗，为什么给我关闭,0
我不想用不用的用花呗的,就是我这个支付宝不想用花呗，想用另一个支付开通花呗为什么不行,0
电脑能开通花呗吗,花呗电脑怎么开通,0
为什么我的花呗不能分期还款,为什么我的产品有的上面有花呗分期，有的没有,0
在蚂蚁借呗上借款一万能分期还款吗,蚂蚁借呗到期可以分期还吗,0
花呗 临时额度可以分期吗,花呗的临时额度分期付款了，临时额度到期了，还可以继续分期付款吗,1
花呗分期提前还款收费用吗,花呗我分期付款的，我想提前还款，但是没有,0
为什么不可以借呗,蚂蚁花呗为什么不能线下支付,0
淘宝怎怎么用不了花呗购物了,淘宝买东西不能用花呗是吗,1
花呗分期了以后带道第二个月最低还款还可以分期吗,花呗分期能最低还款嘛,0
花呗帮还对以后提额有影响吗,花呗晚还一天，对信誉有影响不,0
花呗能换支付宝吗,花呗能满足我此次付款吗,0
蚂蚁借呗还款能分期吗,蚂蚁借呗按日借款了之后到期可以分期还款吗,0
收钱码能收花呗的吗,怎么我的花呗收款码只能收***,0
为什么花呗支付游戏充值两三次之后就不能再用了,为什么最近我有一些游戏充值用不了花呗了,0
不过我半年前有逾期花呗还款 好像逾期几天 但是不至于到现在还不给我恢复把 都已经三四个月了,我的花呗逾期了一个月，还了之后不能用了，要怎么样才能用,0
花呗只能在淘宝买东西嘛,花呗只能用在绑定的淘宝号吗,0
蚂蚁借呗的钱可以分期还嘛，大额的那种,借呗可以提前还分期付款吗,0
以前的号码不用了？换了支付宝但是花呗还是之前的号码怎么办,我的花呗在以前的号码开通了。我现在换了新号码。以前的号码没有了。我用不了花呗是怎么回事,0
借呗能提前还清吗,借呗没有到时间不能还分期吗,0
花呗能邦定银行卡吗,花呗的钱只能绑定银行卡才能用吗,0
把借呗钱放余额宝可以吧,是不是余额宝里不存钱就不会有借呗,0
蚂蚁花呗可以支持交电费吗,现在交电费能用花呗吗,1
花呗能不能推迟几天还款呀,花呗忘记还款,0
我在淘宝上买个东西，用花呗买了，但是手机上面显示签收了，但是我没有收到货物，钱划了,我这是订了什么单，货没收到钱花呗显示扣***元,1
我用蚂蚁花呗支付了共享单车押金，为什么押金没有显示,为什么用花呗付款时，出示分期付款,0
还没还清花呗分期还可以申请花呗分期还款吗,这期花呗没还，买东西能做分期吗,1
花呗分期后没还清可以再次分期吗,花呗分期后下月还能分吗,1
花呗不可以住酒店,花贝怎么住酒店,0
花呗切换手机号,我花呗里面的手机号,0
为什么我借呗不能用,借呗为什么没有,0
我的花呗逾期了对酒,花呗逾期两个月了,1
借呗授权被我不小心删除了,怎么解除借呗授权,0
比如我已经分了***期，我早还晚还每个还的数额还是一样的,比如我下个月要还***，我选择账单分期，利息是多少,0
我的花呗怎么暂停使用了,我的花呗出了什么问题 怎么用不了,0
蚂蚁借呗到了还款日我自己可以还钱,借呗还款日可以***点之前还款吗,0
我是商家，开通了花呗，为什么付款人扫码后不能用花呗,为什么开通了花呗，商家也支持，我的确不显示，不能用花呗,0
我刚刚开通花呗 他说我有***快 我以为我借了***块钱,开通花呗之后还清钱，可以取消吗,0
借呗提现可以放款到其他银行卡吗,借呗提现银行,0
借呗怎么才能用,借呗现在怎么才能开通,1
这笔退款显示退回花呗了，怎么还要还款,已经退款了，为什么蚂蚁花呗显示还有账单要还,1
我绑支付宝的银行卡坏了，在借呗上还有借款没还清，去银行换了新卡，旧卡报废了，怎么办？怎么还款,支付宝上的借呗怎么去查看,0
为什么我淘宝付款用不了花呗和余额宝，只能用银行卡,淘宝支付宝支付不了，花呗也支付不了，只能用银行卡支付，这是什么情况,1
为什么我的花呗之前是***万的额度 现在变***了,花呗为什么降余额了,1
蚂蚁借呗昨晚借的钱怎么到现在都没有到账,借呗还款了怎么没到账,0
现在帮我查询一下借呗还款账单,我想查询我的借呗帐单,0
借呗还款提示银行系统繁忙,花呗还款银行系统维护,0
蚂蚁花呗最低还款会降低信用,花呗还了最低消费会不会造成信用下降,1
怎么让人代付花呗,代付可以使用蚂蚁花呗么,0
花呗支付后会有短信提醒么,花呗有消费短信提醒么,1
花呗临时额度过期，是否马上还款,花呗还款是否包含当天,0
银行卡的钱也少了，怎么花呗也让我还钱,我***月***日交了***元，和***元话费花呗让我还了***元。可我网银卡上怎么少了***元钱,0
蚂蚁借呗双十一借呗免息,十月一放假，蚂蚁借呗正常使用不,0
花呗可以在第二个手机号使用不,花呗不可以换吗,0
能不能看下我什么时候可以开通花呗,我什么时候余额宝能用,0
花呗为什么不支持电费支付了,花呗付款为什么不不支持,0
用多久花呗才能开蚂蚁借呗,使用多久花呗才有临时额度产生,0
借呗如何升级为网商贷,如何将网商贷皇城换成借呗,0
我开通不了花呗 是不是淘宝冻结有关嘛,显示不符合花呗开通条件,0
花呗被冻结了怎么回事,花呗被冻结了，要多久恢复正常使用,0
退货了为什么还要还花呗,花呗支付的 现在退货了 点了确认收货 为什么还要还花呗,1
我想买个浴缸，花呗额度不够怎么办,我想用花呗买电视，额度差***元怎么办,0
我的收款码别人只能花呗付***,我的收钱码为啥不能收花呗额,0
为什么我没有蚂蚁花呗 而是网商贷？是同一个意思么,为什么有的人的是蚂蚁借呗有的人是网商贷,0
借呗，不够用，如何在提额,我想提高借呗额度如何提高,1
新开通的支付宝，怎么没有花呗,我的支付里没有花呗呀,1
借呗系统关了 怎么开,借呗开通过，现在取消了，怎么恢复,0
蚁借借呗消费记录,蚂蚁借呗的记录你可以帮忙消除吗,0
网商贷如何变为借呗,怎么网商贷转为蚂蚁借呗,1
我不知道怎么开通了花呗，该怎么取消,蚂蚁花呗，我不知道是什么时候把它开通了，我不想用了怎么能把它关掉吗，不想使用蚂蚁花呗的功能,0
电费花呗红包,花呗红包怎抵不了账,0
为什么淘宝支付扣的银行卡上的钱，现在花呗还要扣钱,为什么我的花呗显示外币支付,0
花。花呗里面的有利息吗,花呗上月款转下月还有利息吗,0
花呗分期申请,花呗分期不能用,0
花呗积分过期,花呗过期还款,0
花呗临时额度任务,怎样临时提示花呗额度,0
另外一个蚂蚁花呗，用不了了，怎么办,这个花呗怎么不能用,0
蚂蚁借呗里面的钱怎么锁住,蚂蚁借呗怎么在我的列表显示,0
花呗可用什么还款,什么是帮还花呗,0
解锁双十一花呗额度,花呗不能摇双十一额度,0
商家已开通花呗收款，为什么客户支付不了,做为商家怎么样才可以开通蚂蚁花呗二维码支付方式,0
但是欠花呗的钱没还上,我已经还了花呗下个月的钱，可还是显示没有还,0
借呗的利率跟会员级别有关系吗,花呗和借呗哪个利率低,0
我刚才借呗借了钱到现在还没到账,我借呗今天还款，我卡里还没到账怎么办,0
借呗借钱可以借***天的么,蚂蚁借呗 可以借***天吗,1
要是花呗钱还了，然后有退款应该怎么办,刚用花呗交了费怎么退款,0
取消招联金融的借呗,借呗是银行贷款还是消费金融贷款,0
咋今天不可以用花呗交电费了,以前一直用花呗交电费,1
为什么我的花呗是体验,我的蚂蚁花呗为什么那么少,0
花呗逾期后能分期么,花呗逾期后 还能分期吗,1
花呗还期怎么找人代付,帮别人代付能使用花呗嘛,0
如何才能开通蚂蚁花呗,什么叫开通花呗,0
我本来开通了借呗。可以有几万额度的.后来身份证过期了,我身份证过期，更新了怎么借呗还没有额度,0
为什么退回的钱被转入花呗里面了,为什么我火车票退款了，花呗账单还是扣款的,0
借呗我永远开不了对吧,我的借呗怎么没有了,0
暂时冻结花呗，因为没有钱还,到底付了没有，因你花呗为准，还支付宝一种,0
查一下我是什么时候用的花呗,什么时候用的花呗明细,1
我问的是蚂蚁借呗自动还款，怎么取消,蚂蚁借呗如何取消自动还款设置,1
不要申请蚂蚁借呗，我是支付宝转到余额宝,我从余额转入余额宝的钱可以用来还蚂蚁借呗吗,0
蚂蚁借呗的钱的用途有要求吗,借呗借款用途受限吗,1
在哪里可以找见花呗,花呗提醒我可以提额了，但是找不到在哪提额,0
为什么我退款了 花呗金额没改变,为什么我的花呗退款了额度还是没变,1
借呗的钱可以多分几十期还款吗,可以还款借呗吗,0
系统对借呗评估要多久,系统多久评估一次对蚂蚁借呗的使用权,0
为什么我的花呗刷脸说不是本人照片,为什么我信用额度都达到标准。花呗还是显示安全验证不成功。刷脸也说公安照片不清晰。这都是啥,0
可否关闭另一个账号的花呗，开通这个账号的花呗,显示另一帐号已开花呗,0
花呗这月还还是下月,我这月的花呗六号钱还完了，今天再用是这个月六号还，还是下个月六号还,0
借呗为什么不能还***期的,现在借呗不可以分***期还款了,1
卖家花呗手续费是多少,卖家花呗收手续费,0
我怎么我用不了花呗,不给我处理我发不了花呗,0
我就是不想用花呗付钱,我不想用花呗了，怎么退出来,0
"我的手机号码换了,我的蚂蚁花贝蚂蚁借呗怎么转过来",蚂蚁借呗借的钱，转到挂失卡里了怎么办,0
网商贷和借呗是一样的那,借呗与网商贷一样,1
蚂蚁借呗是否要停用了,蚂蚁借呗就给关了,0
支付宝账号和花呗账号不一致怎么办,登录的就是一样的支付宝账号 ，为什么还让我登录一样的支付宝账号使用花呗,0
zara可以用花呗吗,点外卖是否也可以用花呗,0
花呗关闭了,a账户花呗关闭了的,1
我花呗还款怎么莫名要我多还***多块钱,我花呗还***块***，怎么还,0
如何开通蚂蚁花呗商家收款,口碑商家如何开通花呗收款,0
这个花呗只能在淘宝上买东西付款吗,我的花呗干嘛只能交费不能买东西吗,0
我的花呗额度为什么给我降低了,花呗额度为什么会增高,0
花呗分欺时间能不能改,花呗怎么修改分期,0
花呗***额度能最高一次能分期多少钱,花呗分期最好可以分期多少,0
蚂蚁花呗关闭了为什么不能在另外的帐号开通,我是商家 为什么开通不了花呗,0
我手机号码变更了一下现在换成邮箱登录了对借呗有影响吗,我现在是qq邮箱登陆的 我想换成手机号码登陆 然后又要保持我现在的花呗这些 可以吗,0
蚂蚁借呗中午***点之后没还上有什么影响,蚂蚁借呗还了钱怎么还显示没有还,0
蚂蚁借呗和网商贷冲突么,网商银行和借呗的区别,0
蚂蚁花呗账单分期当月用还款吗,我的蚂蚁花呗的分期这个月还了，未,0
我花呗绑卡绑不上怎么回事,怎么绑定不了花呗,0
我朋友手机丢了，暂时补办不了手机号，支付宝密码忘记了，这样的情况下，花呗里的钱怎么还,花呗还款时间到了，手机里没有钱，会怎么样,0
刚刚借呗额度因为什么增加的,影响蚂蚁借呗额度降低的原因,0
花呗只能在指定的消费软件上使用吗,花呗的钱只能购物吗,0
说蚂蚁借呗操作存在风险,开通借呗提前存在风险,1
怎么才能关闭借呗,帮我关闭借呗入口,1
蚂蚁借呗显示可借***元，不用也会要利息吗,蚂蚁借呗开通后不用用不用利息,1
可以帮我查查为什么我来不了花呗吗,为什么我一直不能开同花呗,0
火车票退款后花呗怎么还扣款,我这个车票已退票，退款是***元，为什么花呗还收,0
借呗怎么只能分成六个月还款,借呗设置额度，下个月还能设置吗,0
信用卡蚂花呗收钱码,信用卡花呗收款码是什么,0
如果我现在关闭花呗还收钱吗,可以关闭花呗和信用卡收款吗,0
花呗提前接清,怎么操作花呗提前结清,1
花呗支付开通不了,借呗开通不了,0
有开通蚂蚁花呗的商品为什么付款时提示该商品不支持花呗,花呗不能支付，花呗额度足够，商品显示支持花呗付款,1
注意主动申请蚂蚁借呗,蚂蚁借呗怎么主动,0
为什么有两笔花呗我连还了两次款,我的花呗上面有借呗的单 我还上了为什么借呗上面还有,0
花呗在***月***号当天换算是逾期吗,花呗十号当天还算逾期吗,1
开通花呗商户收款,城乡自营客车怎么开通花呗收款,0
借呗可以分还款么,花呗可以分几次分,0
花呗信用分,花呗分不会长,0
不想看见蚂蚁借呗,蚂蚁借呗取消么,0
收花呗的额度,在花呗上有额度,0
借呗怎么没到期就自动还款,为什么借呗昨天已经是还款日，还未自动扣款,0
借呗最迟还款日,借呗还款日最近当天几点还款,0
为什么我的花呗一下子降低了那么多,花呗降低了,1
我花呗还有***额度 为什么分期不了***商品,淘宝商户的花呗分期，为什么我不能使用,0
借蚂蚁借呗钱的人意外死亡，这笔钱谁来还,蚂蚁借呗提前还款，为什么说没有适合的还款路径？我绑定的银行卡里有钱的,0
花呗的改不了,花呗从新绑定淘宝怎么改不了,0
如何修改花呗的邮箱号码,邮箱登录花呗更改为手机号登录,0
问花呗临时额度是否可以分期,用了花呗临时额度，可以分期不,1
扫码支付用花呗要密码吗,通过花呗支付需要密码么,1
花呗分期能分期多少次,花呗多少以上可以分期,0
借呗一千利息多少,借款利息跟蚂蚁借呗一样吗,0
身份证已经绑定了一个花呗，但是手机号码不是现在用的，得怎么办,花呗绑定其他手机号码了，怎么办,0
花呗现在的还款链接在哪？我怎么找不到,我要花呗的还款链接,1
蚂蚁借呗申请表 没有填公积金 没有车 没法提交申请,没有公积金不影响借呗提额吧,0
花呗手机租赁发票,花呗租手机是要冻结花呗吗,0
支付宝扣了钱的,支付宝我的账单在哪呀,0
淘宝账号限制登录，会影响支付宝花呗和借呗吗,两个支付宝账户会影响申请借呗吗,0
花呗开了借呗没开,为什么借呗没有额度,0
整么借呗会自动取消,怎么不使用借呗自动还款,0
有一个花呗的,是这个帐号开通花呗的吗,0
花呗被关闭了怎么办,花呗被冻结，要怎么解冻,0
蚂蚁借呗可以逾期好久,借呗可以逾期到下个月一起还吗,0
绑定的手机短信被锁了 借呗还款需要验证码收不到短信,我想使用蚂蚁借呗 但是我的手机收不到验证码,0
为什么我把花呗钱还了怎么还有负面,花呗我已还清，怎么还显示下月要还的钱,0
我的借呗不是还款了吗，怎么又有信息说我还欠,蚂蚁借呗还款日现在怎么不提醒了,0
花呗抽奖页面在哪里,我花呗抽奖的优惠在哪里,1
花呗分期会不会降低信用度,花呗分期会影响正常使用吗,0
已授权为何用不了借呗,花呗可以用借呗为什么不能用,0
用蚂蚁借呗借了钱怎么还,额度超支，怎么还借呗,0
我这个已经有一单，已经退款了，为什么还算在我的花呗账单里面,已经退款了，为什么我花呗里还要还钱,1
为什么没有资质开通花呗,没有开通花呗，怎么多了消费,0
花呗还款可以换成手动吗,花呗的还款日可以换吗,0
用花呗分期购买的商品退货后，已经还了的,如果使用花呗，然后退货了,0
借呗最多能解多少,借呗总额最高多少,0
花呗用于花罗押金可以吗,花呗可以用于,0
花呗双倍返现,花呗之前***元返现,0
借呗和花呗影响房贷吗,借蚂蚁花呗以后会影响房贷吗,0
花呗付款有次数限制吗,花呗分期?限制次数吗,0
为什么我银行卡绑定了还是用不了花呗,我银行卡帮定花呗，帮不上什么问题,0
我的花呗消费了到时打不开花呗软件,花呗怎么就打不开了什么原因,1
花呗哪里为什么弄不了银行卡,为什么我绑定银行卡了怎么没有花呗的,0
花呗每天有限额,我的花呗限额,0
为什么我不能借呗了,蚂蚁借呗不能用,1
我的蚂蚁借呗前面申请提额成功了，怎么还是***,我的借呗提额了吗,0
花呗还能开房吗,花呗能还来分欺吗,0
可以用集分宝还花呗吗,花呗就是集分宝吗,0
花呗账单被永久删除要怎么恢复,怎么查询蚂蚁花呗账单,0
为什么直接退到花呗了,为什么帮别人还花呗会被退款,0
今天还借呗钱，还之前还能借***元，还了***元多点，为什么还完能借的钱是***元，不应该是***元加上***,借呗额度是***元，现在全部借完了，未还本金是***元，不在了***元,0
花呗便利店周卡,花呗便利店周卡，是啥意思,1
我这怎么没看到有花呗借款,我没有找到蚂蚁借呗有蚂蚁花呗,0
怎么没帮我开通花呗,我想开开通花贝,1
花呗信息完善，购房合同能行么,为啥花呗信息不完善,0
蚂蚁借呗的还款日期是什么时候,蚂蚁借呗还款日中午***点之后,0
花呗临时额度领取***,临时花呗在哪里领,0
花呗钱到期了是自动扣除吗,花呗是每月扣款吗,0
我得蚂蚁花呗怎么调的降额了,花呗怎么调高,0
为什么花呗不支持交哈罗单车押金,这个是我共享单车抵的押金，为什么没有退还蚂蚁花呗,0
花呗买商品如何查询快递信息,在花呗里买的东西怎么查快递,1
开通了口碑商家怎么不能花呗收款,为什么我的花呗不能口碑付款,1
蚂蚁借呗在哪看什么时候还款,蚂蚁借呗借三个月什么时候还,1
用户在口碑上用花呗支付，到账后收取商家多少手续费,线下商户开通花呗支付，需要多少手续费,0
收款码 能不能收花呗,是花呗收钱码,0
我的花呗已还清，为啥芝麻分又降了,花呗按时还款为何芝麻分降低了,0
花呗商家是卖东西的,花呗商户条形码是干什么的,0
啥时候能用花呗充电费,水电费能不能花呗,0
为什么我有花呗但是不能分期,我的蚂蚁花呗为什么不能分期呀,1
以前的花呗号码现在不用了，怎么转到现在的账号,使用花呗时手机号不是现在用的手机号怎么办,0
我登陆不了花呗，提示支付宝登录,我问的是花呗我，我那支付宝登陆了，但是用不了,0
花呗分期还不完,花呗为负，分期以后暂时还不了，怎么办,0
不消费可以开通花呗吗,我得花呗还可以开通吗,0
我的借呗为什么借不了了,借呗上的借款数颜色是灰色的，为什么,0
如何看花呗帐单,花呗全部账单怎么查看,1
为什么我的花呗选不了脸,花呗怎么加不了油,0
我的蚂蚁借呗为啥不能用,借呗为什么不能用,1
花呗分期对以后长额度有影响吗,花呗额度为负有什么影响,0
花呗是否需要绑定银行卡,花呗可不可以绑定银行卡,1
花呗没抵扣,为什么这个花呗红包付款时没有抵扣,0
